id,img_1,img_2,regions_id_1,regions_id_2,created_at,updated_at,category,category_x,is_manual,score,similarity_type
30002068,"wit76_pdf76_0167_58,482,218,257.jpg","wit247_man247_0079_116,1918,346,248.jpg",76,247,,,,,f,29.74928,1
30002071,"wit76_pdf76_0901_647,421,341,217.jpg","wit247_man247_0079_116,1918,346,248.jpg",76,247,,,,,f,37.29044,1
30002076,"wit76_pdf76_0321_823,1296,237,323.jpg","wit247_man247_0079_151,596,292,344.jpg",76,247,,,,,f,34.58582,1
30002104,"wit76_pdf76_0813_1152,1755,504,395.jpg","wit247_man247_0079_501,1959,414,228.jpg",76,247,,,,,f,28.34386,1
30002116,"wit76_pdf76_0319_730,842,159,389.jpg","wit247_man247_0079_626,238,202,309.jpg",76,247,,,,,f,25.13581,1
30002135,"wit76_pdf76_0167_58,482,218,257.jpg","wit247_man247_0079_954,1867,367,351.jpg",76,247,,,,,f,41.18936,1
30002138,"wit76_pdf76_0167_430,1403,212,227.jpg","wit247_man247_0079_954,1867,367,351.jpg",76,247,,,,,f,51.689,1
30002141,"wit76_pdf76_0813_658,1778,247,215.jpg","wit247_man247_0079_954,1867,367,351.jpg",76,247,,,,,f,46.14692,1
30002144,"wit76_pdf76_0167_627,1392,215,225.jpg","wit247_man247_0079_954,1867,367,351.jpg",76,247,,,,,f,35.51442,1
30002147,"wit76_pdf76_0267_538,816,375,278.jpg","wit247_man247_0079_954,1867,367,351.jpg",76,247,,,,,f,72.64282,1
30002150,"wit76_pdf76_0321_509,1548,248,392.jpg","wit247_man247_0079_954,1867,367,351.jpg",76,247,,,,,f,26.14908,1
30002163,"wit76_pdf76_0901_1087,2034,126,202.jpg","wit247_man247_0079_954,1867,367,351.jpg",76,247,,,,,f,40.09546,1
30002167,"wit76_pdf76_0167_248,2136,188,156.jpg","wit247_man247_0079_954,1867,367,351.jpg",76,247,,,,,f,46.37182,1
30002170,"wit76_pdf76_0901_646,403,352,247.jpg","wit247_man247_0079_954,1867,367,351.jpg",76,247,,,,,f,65.74115,1
30002177,"wit76_pdf76_0319_868,889,250,255.jpg","wit247_man247_0081_1109,237,211,364.jpg",76,247,,,,,f,28.80539,1
30002183,"wit76_pdf76_0167_1061,1625,152,248.jpg","wit247_man247_0081_1109,237,211,364.jpg",76,247,,,,,f,69.10895,1
30002078,"wit76_pdf76_0167_645,1865,199,248.jpg","wit247_man247_0079_151,596,292,344.jpg",76,247,,2025-01-20 23:15:05.761678+00,1,,f,86.3648,1
30002081,"wit76_pdf76_0267_538,816,375,278.jpg","wit247_man247_0079_161,986,291,335.jpg",76,247,,2025-01-20 23:15:19.218983+00,4,,f,49.6523,1
30002084,"wit76_pdf76_0319_1357,895,150,393.jpg","wit247_man247_0079_161,986,291,335.jpg",76,247,,2025-01-20 23:15:19.221007+00,4,,f,29.76257,1
30002087,"wit76_pdf76_0319_871,1345,184,251.jpg","wit247_man247_0079_161,986,291,335.jpg",76,247,,2025-01-20 23:15:19.222678+00,4,,f,26.10471,1
